Station ID,Latitude,Longitude,Address,Charger Type,Cost (USD/kWh),Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency
EVS00001,-33.400998,77.974972,"4826 Random Rd, City 98, Country",AC Level 2,0.27,9:00-18:00,4.95,35,EVgo,350,"CCS, CHAdeMO",2013,Yes,4.0,7,Annually
EVS00002,37.861857,-122.490299,"8970 San Francisco Ave, San Francisco",DC Fast Charger,0.19,24/7,4.96,83,EVgo,350,"Tesla, Type 2",2010,Yes,3.9,2,Monthly
EVS00003,13.776092,100.412776,"5974 Bangkok Ave, Bangkok",AC Level 2,0.48,6:00-22:00,8.54,24,ChargePoint,50,"Type 2, CCS",2019,No,3.6,9,Annually
EVS00004,43.62825,-79.468935,"6995 Toronto Ave, Toronto",AC Level 1,0.41,9:00-18:00,13.28,70,Greenlots,350,Type 2,2010,Yes,4.2,7,Monthly
EVS00005,19.119865,72.913368,"5704 Mumbai Ave, Mumbai",AC Level 2,0.11,9:00-18:00,9.76,19,EVgo,350,CCS,2015,Yes,3.7,6,Annually
EVS00006,-23.695008,-46.548187,"1545 São Paulo Ave, São Paulo",AC Level 2,0.22,6:00-22:00,2.02,39,Ionity,350,Tesla,2016,Yes,3.2,9,Quarterly
EVS00007,55.762409,37.65583,"1390 Moscow Ave, Moscow",AC Level 1,0.4,24/7,2.68,89,ChargePoint,350,"Tesla, CCS",2011,Yes,4.0,4,Annually
EVS00008,13.715561,100.561468,"7684 Bangkok Ave, Bangkok",AC Level 2,0.26,24/7,3.63,72,Ionity,350,Tesla,2013,Yes,4.3,9,Annually
EVS00009,41.807653,-87.755349,"6203 Chicago Ave, Chicago",AC Level 2,0.49,9:00-18:00,6.68,68,Greenlots,350,CCS,2013,No,3.4,1,Monthly
EVS00010,39.968701,116.433865,"4339 Beijing Ave, Beijing",AC Level 2,0.37,9:00-18:00,19.13,82,Tesla,150,"CCS, Tesla",2023,No,4.4,5,Quarterly
