Station ID,Latitude,Longitude,Address,Charger Type,Cost (USD/kWh),Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency,Station Utilization (%),Distance to Nearest Station (km),Demand Score,Coverage Score,Congestion Risk,Expansion Priority Index,Expansion Recommendation,EV Growth (%),Charging Sessions,Revenue,Queue Length,Average Charging Time (min),City,EV Population,Expansion Priority
EVS00001,-33.400998,77.974972,"4826 Random Rd, City 98, Country",1,0.27,2,4.95,35,1,350,"CCS, CHAdeMO",2013,1,4.0,7,Annually,23.333333333333332,4.95,54.49999999999999,75.25,Very Low,39.21249999999999,Monitor Demand,48,125,11812.5,2,78,Country,16795,0
EVS00002,37.861857,-122.490299,"8970 San Francisco Ave, San Francisco",2,0.19,0,4.96,83,1,350,"Tesla, Type 2",2010,1,3.9,2,Monthly,55.333333333333336,4.96,88.1,75.2,High,64.66999999999999,Upgrade Existing Station,38,114,7581.0,6,66,San Francisco,1860,1
EVS00003,13.776092,100.412776,"5974 Bangkok Ave, Bangkok",1,0.48,1,8.54,24,0,50,"Type 2, CCS",2019,0,3.6,9,Annually,16.0,8.54,21.085714285714282,57.300000000000004,Very Low,29.379285714285707,No Immediate Action,24,87,2088.0,2,32,Bangkok,39158,0
EVS00004,43.62825,-79.468935,"6995 Toronto Ave, Toronto",0,0.41,2,13.28,70,2,350,Type 2,2010,1,4.2,7,Monthly,46.666666666666664,13.28,78.99999999999999,33.60000000000001,Medium,72.33999999999997,Upgrade Existing Station,17,147,21094.5,5,52,Toronto,45732,1
EVS00005,19.119865,72.913368,"5704 Mumbai Ave, Mumbai",1,0.11,2,9.76,19,1,350,CCS,2015,1,3.7,6,Annually,12.666666666666668,9.76,43.3,51.2,Very Low,39.15,Monitor Demand,30,104,4004.0,1,81,Mumbai,12284,0
EVS00006,-23.695008,-46.548187,"1545 São Paulo Ave, São Paulo",1,0.22,1,2.02,39,3,350,Tesla,2016,1,3.2,9,Quarterly,26.0,2.02,57.3,89.9,Very Low,36.205,Monitor Demand,48,102,7854.0,3,35,São Paulo,7265,0
EVS00007,55.762409,37.65583,"1390 Moscow Ave, Moscow",0,0.4,0,2.68,89,0,350,"Tesla, CCS",2011,1,4.0,4,Annually,59.333333333333336,2.68,92.30000000000001,86.6,High,63.86000000000001,Upgrade Existing Station,28,114,15960.0,6,63,Moscow,17850,1
EVS00008,13.715561,100.561468,"7684 Bangkok Ave, Bangkok",1,0.26,0,3.63,72,3,350,Tesla,2013,1,4.3,9,Annually,48.0,3.63,80.4,81.85,Medium,56.51250000000001,Upgrade Existing Station,32,51,4641.0,5,77,Bangkok,38194,1
EVS00009,41.807653,-87.755349,"6203 Chicago Ave, Chicago",1,0.49,2,6.68,68,2,350,CCS,2013,0,3.4,1,Monthly,45.33333333333333,6.68,77.60000000000001,66.60000000000001,Medium,59.730000000000004,Upgrade Existing Station,20,85,14577.5,5,25,Chicago,22962,1
EVS00010,39.968701,116.433865,"4339 Beijing Ave, Beijing",1,0.37,2,19.13,82,4,150,"CCS, Tesla",2023,0,4.4,5,Quarterly,54.666666666666664,19.13,70.25714285714285,4.350000000000009,High,82.08035714285712,Build New Fast Charging Station,20,135,7492.5,5,34,Beijing,48191,1
